Title,Abstract,Tag,Type
 QTc interval predicts outcome of catheter ablation in paroxysmal atrialfibrillation patients with type 2 diabetes mellitus. ," Catheter ablation has been recommended as a treatment option for paroxysmalatrial fibrillation (PAF) patients complicated with type 2 diabetes mellitus(T2DM). PAF patients with T2DM have a higher recurrence rate after catheterablation. Prolongation of corrected QT (QTc) interval has been linked to pooroutcomes in T2DM patients. Whether the abnormal QTc interval is associated withthe ablation outcome in the PAF patients with T2DM remains unknown. In thisstudy, 134 PAF patients with T2DM undergoing primary catheter ablation wereretrospectively enrolled. Pre-procedural QTc interval was corrected by using theBazett's formula. Cox proportional hazards models were constructed to assess therelationship between QTc interval and the recurrence of AF. After a 29.1-monthfollow-up period, 61 patients experienced atrial tachyarrhythmia recurrence.Recurrent patients had a longer QTc interval than non-recurrent patients(425.2+/-21.5 ms vs. 414.1+/-13.4 ms, P=0.002). Multivariate Cox regressionanalysis revealed that QTc interval [hazard ratio (HR)=1.026, 95% confidenceinterval (CI) 1.012-1.040, P=0.005] and left atrial diameter (LAD) (HR=1.125, 95%CI 1.062-1.192, P=0.003) were independent predictors of recurrent atrialtachyarrhythmia. Receiver operating characteristic analysis demonstrated that thecut-off value of QTc (418 ms) predicted arrhythmia recurrence with a sensitivityof 55.7% and a specificity of 69.9%. A combination of LAD and QTc was moreeffective than LAD alone (P<0.001) in predicting arrhythmia recurrence after theprocedure. QTc interval could be used as an independent predictor of arrhythmiarecurrence in T2DM patients undergoing AF ablation, thus providing a simplemethod to identify those patients who likely have a better outcome following theprocedure. ",no,old
 Reply: Recent Diabetes and Atrial Fibrillation Report Diverges From Pre-ExistingEvidence. ,"Diabetes is a consistently identified but moderately weak risk factor for ischemic stroke in patients with AF. The aforementioned studies sought aspects of diabetes more proximal to the cause of stroke to better inform the use of OAC for AF. For now, patients with longer-duration diabetes should be viewed as being at higher risk than those with a relatively recent onset.",no,old
 Recent Diabetes and Atrial Fibrillation Report Diverges From Pre-ExistingEvidence. ,"We read with interest the study by Ashburner et al. (1), investigating associations between duration of diabetes, glycemic control, and risk of ischemic stroke in patients with atrial fibrillation (AF) in the ATRIA (Anticoagulation and Risk Factors in Atrial Fibrillation) cohort.

They found that duration of diabetes is an important predictor of ischemic stroke in patients with AF, suggesting that an arbitrary duration threshold of ?3 years may be a useful cut-off. These findings serve partly as valuable confirmation of observations from another recent analysis including >17,000 patients with AF and concomitant diabetes that investigated a similar issue (2). Here, the risk of a composite outcome of ischemic stroke or systemic embolism according to diabetes duration exhibited a linear dose-response relationship, with the highest risk observed among patients with diabetes duration ?15 years. These previous data do not support a risk threshold at 3 years of duration as observed in the ATRIA study.",no,old
 Calpain-Calcineurin-Nuclear Factor Signaling and the Development of AtrialFibrillation in Patients with Valvular Heart Disease and Diabetes. ," Calpain, calcineurin (CaN), and nuclear factor of activated T cell (NFAT) play akey role in the development of atrial fibrillation. Patients with valvular heartdisease (VHD) are prone to develop atrial fibrillation (AF). Thus, our currentstudy was aimed at investigating whether activation of calpain-CaN-NFAT pathwayis associated with the incidence of AF in the patients with VHD and diabetes. Theexpressions of calpain 2 and alpha- and beta-isoforms of CaN catalytic subunit(CnA) as well as NFAT-c3 and NFAT-c4 were quantified by quantitative reversetranscription-polymerase chain reaction in atrial tissues from 77 hospitalizedpatients with VHD and diabetes. The relevant protein content was measured byWestern blot and calpain 2 in human atrium was localized by immunohistochemistry.We found that the expressions of calpain 2, CnA alpha and CnA beta, and NFAT-c3but not NFAT-c4 were significantly elevated in the samples from patients with AFcompared to those with sinus rhythm (SR). Elevated protein levels of calpain 2and CnA were observed in patients with AF, and so was the enhanced localizationof calpain 2. We thereby concluded that CaN together with its upstream molecule,calpain 2, and its downstream effector, NFAT-c3, might contribute to thedevelopment of AF in patients with VHD and diabetes. ",no,old
 Catheter ablation of atrial fibrillation and atrial flutter in patients withdiabetes mellitus: Who benefits and who does not? Data from the German ablationregistry. ," BACKGROUND: Diabetes mellitus (DM) is an independent risk factor forcardiovascular disease and arrhythmias. Procedural data and complication rates inpatients with DM undergoing catheter ablation for atrial arrhythmias are unknown.METHODS: The German Ablation Registry has been designed as a multi-centerprospective registry. Between January 2007 and January 2010 data from ablation ofright atrial flutter (AFlut) and atrial fibrillation (AF) were collected from 51German centres. Patients with DM and without DM were compared. RESULTS: Weincluded 8175 patients who underwent catheter ablation of AFlut or AF. Patientswith DM (n=944) were older and presented significantly more severe comorbidities.Major periprocedural complications did not significantly differ between patientswith and without DM for both ablation of AFlut and AF. Kaplan-Meier survivalanalysis for 366days of follow-up, showed a significant increase of MACCE for DMpatients as compared to controls after AFlut [6.1% vs. 3.4%(p=0.002)], but notafter AF ablation [1.2% vs. 0.9%(p=0.59)]. Ablation of AFlut led to a comparablereduction of palpitations and NYHA class in both patient groups. AF ablationreduced palpitations and NYHA class in patients without DM, while patients withDM reported no improvement of NYHA class despite a reduction of palpitations.CONCLUSION: As compared to non-DM, patients with DM show no increasedperiprocedural risk and no increased arrhythmia recurrence after ablation ofAFlut or AF. As expected patients with DM exhibit more comorbidities and anincreased ongoing mortality after atrial flutter ablation presumably caused bythe higher age of this group as compared to controls. ",no,old
 Diabetes mellitus and risk of ischemic stroke in patients with heart failure andno atrial fibrillation. ," OBJECTIVE: The risk of ischemic stroke, systemic thromboembolism, and all-causedeath among heart failure patients previously diagnosed with diabetes mellitus ispoorly described. We evaluated the risk of these endpoints among heart failurepatients without diagnosed atrial fibrillation according to the presence ofdiabetes mellitus. METHODS: Population-based nationwide cohort study ofnon-anticoagulated patients diagnosed with incident heart failure during2000-2012, identified by record linkage between nationwide registries in Denmark.We calculated relative risks after 1year to evaluate the association betweendiabetes and risk of events in 39,357 heart failure patients, among whom 18.1%had diabetes. Analysis took into account competing risks of death. RESULTS:Absolute risks of all endpoints were higher in patients with diabetes compared topatients without diabetes after 1-year follow-up (ischemic stroke: 4.1% vs. 2.8%;systemic thromboembolism: 11.9% vs. 8.6%; all-cause death: 22.1% vs. 21.4%).Diabetes was significantly associated with an increased risk of ischemic stroke(adjusted relative risk [RR]: 1.27, 95% confidence interval [CI]: 1.07-1.51);systemic thromboembolism (RR: 1.20, 95% CI: 1.11-1.30); and all-cause death (RR:1.17, 95% CI: 1.11-1.23). Additionally, time since diabetes diagnosis wasassociated with higher adjusted cumulative incidences of ischemic stroke,systemic thromboembolism, and all-cause death (p for trend, p<0.001).CONCLUSIONS: Among heart failure patients without atrial fibrillation, diabeteswas associated with a significantly increased risk of ischemic stroke, systemicthromboembolism, and all-cause death compared to those without diabetes, evenafter adjustment for concomitant cardiovascular risk factors. Increased focus onsecondary prevention in heart failure patients with diabetes may be warranted. ",no,old
 A Diabetes-Atrial Fibrillation Conundrum: Does Duration Trump Glycemia? ,"The disease and cost burden of atrial fibrillation (AF) is expected to double over the next 25 years (1). With availability of newer therapies, efforts to refine the triage of who receives therapies, when, and for how long have assumed center stage. Over the last few years, a host of new scores such as CHADS-VASc (congestive heart failure [or Left ventricular systolic dysfunction], hypertension, age?75 years, diabetes, prior Stroke, TIA, or thromboembolism, vascular disease [e.g. peripheral artery disease, myocardial infarction, aortic plaque], age 65–74 years, sex category) and ATRIA (Anticoagulation and Risk Factors in Atrial Fibrillation) have emerged on the scene where the age-old CHADS score had reigned suprem",no,old
 Atrial fibrillation in patients with diabetes: molecular mechanisms andtherapeutic perspectives. ," Atrial fibrillation (AF) remains the most frequent sustained cardiac arrhythmiaworldwide and its incidence increases with ageing, cardiovascular risk factorsand comorbidities. Prevalence of diabetes mellitus (DM) is growing fast and isassuming pandemic proportions mostly due to overnutrition and sedentary habits.Experimental and clinical evidences suggest that DM and AF are stronglyinterconnected. The present review addresses in detail new molecular pathwaysimplicated in the etiology of AF and their relevance for mechanism-basedtherapeutic strategies in this setting. Advances in risk stratification, drugtherapy (i.e., novel anticoagulants) and catheter ablation are also described. ",no,old
 Catheter ablation of atrial fibrillation in patients with diabetes mellitus: asystematic review and meta-analysis. ," AIMS: Diabetes mellitus (DM) and atrial fibrillation (AF) sharepathophysiological links, as supported by the high prevalence of AF within DMpatients. Catheter ablation of AF (AFCA) is an established therapeutic option forrhythm control in drug resistant symptomatic patients. Its efficacy and safetyamong patients with DM is based on small populations, and long-term outcome isunknown. The present systematic review and meta-analysis aims to assess safetyand long-term outcome of AFCA in DM patients, focusing on predictors ofrecurrence. METHODS AND RESULTS: A systematic review was conducted inMEDLINE/PubMed and Cochrane Library. Randomized controlled trials, clinicaltrials, and observational studies including patients with DM undergoing AFCA werescreened and included if matching inclusion and exclusion criteria. Fifteenstudies were included, adding up to 1464 patients. Mean follow-up was 27 (20-33)months. Overall complication rate was 3.5 (1.5-5.0)%. Efficacy in maintainingsinus rhythm at follow-up end was 66 (58-73)%. Meta-regression analysis revealedthat advanced age (P < 0.001), higher body mass index (P < 0.001), and higherbasal glycated haemoglobin level (P < 0.001) related to higher incidence ofarrhythmic recurrences. Performing AFCA lead to a reduction of patients requiringtreatment with antiarrhythmic drugs (AADs) from 55 (46-74)% at baseline to 29(17-41)% (P < 0.001) at follow-up end. CONCLUSIONS: Catheter ablation of AFsafety and efficacy in DM patients is similar to general population, especiallywhen performed in younger patients with satisfactory glycemic control. Catheterablation of AF reduces the amount of patients requiring AADs, an additionalbenefit in this population commonly exposed to adverse effects of AFpharmacological treatments. ",no,old
 NT-proBNP values in elderly heart failure patients with atrial fibrillation anddiabetes. ," AIM: To evaluate N-terminal pro-BNP-type natriuretic peptide (NT-proBNP)plasmatic levels in heart failure patients with/without atrial fibrillation(AFib) and with/without diabetes (DM). METHODS: The study enrolled 120 patientswith heart failure, age 71.26+/-9.14, 48.3% AFib and 30.8% with DM. The patientswere divided into 4 groups according to the presence or absence of AFib and DM:group 1, 46 patients in sinus rhythm (SR) without DM; group 2, 16 patients in SRwith DM; group 3, 37 patients with AFib and without DM; group 4, 21 patients withboth AFib and DM. RESULTS: The patients in SR with DM displayed lower NT-proBNPlevels than those with AFib without DM (1196.75+/-1183.11 vs 1940.59+/-963.665,p=0.02). We recorded no significant difference in comparison with the patientswho had both AFib and DM (1196.75+/-1183.11 vs 1452.67+/-1257.94, p=NS). Therewas no significant difference between groups 3 and 4. Statistically significantcorrelations between ejection fraction, namely NYHA class and NT-proBNP levelswere recorded only in the patients in SR-group 1 (r=-0.42, p<0.01) and group 2(r=-0.66, p<0.01). CONCLUSIONS: Correlations between plasma NT-proBNP levels andejection fraction, namely NYHA class, were evinced only in patients in SR. ",no,old
